threshold,tp,fp,tn,fn,precision,recall,verify_rate,false_accept_rate,safe_accept_rate,accuracy
0.5919699311256409,28.0,10.0,469.0,162.0,0.7368421052631579,0.14736842105263157,0.05680119581464873,0.8526315789473684,0.9791231732776617,0.7428998505231689
0.5884929329156875,28.0,11.0,468.0,162.0,0.717948717948718,0.14736842105263157,0.05829596412556054,0.8526315789473684,0.9770354906054279,0.7414050822122571
0.5806070685386657,29.0,11.0,468.0,161.0,0.725,0.15263157894736842,0.059790732436472344,0.8473684210526315,0.9770354906054279,0.7428998505231689
0.5762401461601258,30.0,11.0,468.0,160.0,0.7317073170731707,0.15789473684210525,0.061285500747384154,0.8421052631578947,0.9770354906054279,0.7443946188340808
0.569025057554245,31.0,11.0,468.0,159.0,0.7380952380952381,0.1631578947368421,0.06278026905829596,0.8368421052631579,0.9770354906054279,0.7458893871449925
0.5624615281820297,31.0,12.0,467.0,159.0,0.7209302325581395,0.1631578947368421,0.06427503736920777,0.8368421052631579,0.9749478079331941,0.7443946188340808
0.5569261491298676,32.0,12.0,467.0,158.0,0.7272727272727273,0.16842105263157894,0.06576980568011959,0.8315789473684211,0.9749478079331941,0.7458893871449925
0.5530048489570618,33.0,12.0,467.0,157.0,0.7333333333333333,0.1736842105263158,0.06726457399103139,0.8263157894736842,0.9749478079331941,0.7473841554559043
0.5467546612024307,33.0,13.0,466.0,157.0,0.717391304347826,0.1736842105263158,0.0687593423019432,0.8263157894736842,0.9728601252609603,0.7458893871449925
0.544016632437706,33.0,14.0,465.0,157.0,0.7021276595744681,0.1736842105263158,0.07025411061285501,0.8263157894736842,0.9707724425887265,0.7443946188340808
0.5405036002397537,33.0,15.0,464.0,157.0,0.6875,0.1736842105263158,0.07174887892376682,0.8263157894736842,0.9686847599164927,0.7428998505231689
0.5372966498136521,34.0,15.0,464.0,156.0,0.6938775510204082,0.17894736842105263,0.07324364723467862,0.8210526315789474,0.9686847599164927,0.7443946188340808
0.5358679413795472,35.0,15.0,464.0,155.0,0.7,0.18421052631578946,0.07473841554559044,0.8157894736842105,0.9686847599164927,0.7458893871449925
0.5344886869192124,35.0,16.0,463.0,155.0,0.6862745098039216,0.18421052631578946,0.07623318385650224,0.8157894736842105,0.9665970772442589,0.7443946188340808
0.531059730052948,35.0,17.0,462.0,155.0,0.6730769230769231,0.18421052631578946,0.07772795216741404,0.8157894736842105,0.964509394572025,0.7428998505231689
0.5271172940731049,35.0,19.0,460.0,155.0,0.6481481481481481,0.18421052631578946,0.08071748878923767,0.8157894736842105,0.9603340292275574,0.7399103139013453
0.5267289638519288,35.0,20.0,459.0,155.0,0.6363636363636364,0.18421052631578946,0.08221225710014948,0.8157894736842105,0.9582463465553236,0.7384155455904334
0.5260734647512435,36.0,20.0,459.0,154.0,0.6428571428571429,0.18947368421052632,0.08370702541106129,0.8105263157894737,0.9582463465553236,0.7399103139013453
0.5256330251693726,36.0,21.0,458.0,154.0,0.631578947368421,0.18947368421052632,0.08520179372197309,0.8105263157894737,0.9561586638830898,0.7384155455904334
0.5237908989191055,37.0,21.0,458.0,153.0,0.6379310344827587,0.19473684210526315,0.08669656203288491,0.8052631578947368,0.9561586638830898,0.7399103139013453
